scenario,hand,raise,call,fold,best,confidence
RFI_BTN,97o,0.5102595461339856,0.0,0.4897404538660144,raise,0.5102595461339856
RFI_BTN,T7o,0.3335161069225497,0.0,0.6664838930774503,fold,0.6664838930774503
RFI_BTN,K5o,0.33101472995090014,0.0,0.6689852700490998,fold,0.6689852700490998
RFI_CO,K8o,0.2779142779142779,0.0,0.7220857220857221,fold,0.7220857220857221
RFI_CO,A6o,0.24216171617161716,0.0,0.7578382838283828,fold,0.7578382838283828
RFI_CO,85s,0.16030948825844984,0.0,0.8396905117415502,fold,0.8396905117415502
RFI_CO,J5s,0.06076975016880486,0.0,0.9392302498311952,fold,0.9392302498311952
RFI_CO,98o,0.05200108902804247,0.0,0.9479989109719575,fold,0.9479989109719575
RFI_HJ,K9o,0.43279716466739365,0.0,0.5672028353326063,fold,0.5672028353326063
RFI_HJ,T9o,0.3685365519133178,0.0,0.6314634480866822,fold,0.6314634480866822
RFI_HJ,54s,0.24279499728113105,0.0,0.7572050027188689,fold,0.7572050027188689
RFI_HJ,Q6s,0.9288172931295607,0.0,0.07118270687043922,raise,0.9288172931295607
RFI_LJ,K5s,0.5243786500067907,0.0,0.47562134999320926,raise,0.5243786500067907
RFI_LJ,QTo,0.5778963206127753,0.0,0.4221036793872247,raise,0.5778963206127753
RFI_LJ,65s,0.2971653329716533,0.0,0.7028346670283466,fold,0.7028346670283466
RFI_LJ,22,0.7456211263810294,0.0,0.2543788736189706,raise,0.7456211263810294
RFI_LJ,76s,0.7729072784377987,0.0,0.22709272156220128,raise,0.7729072784377987
RFI_LJ,A9o,0.8573391973611875,0.0,0.14266080263881253,raise,0.8573391973611875
RFI_LJ,JTo,0.9177729612571119,0.0,0.0822270387428881,raise,0.9177729612571119
RFI_SB,A4s,0.5011022320198402,0.49889776798015983,0.0,raise,0.5011022320198402
RFI_SB,99,0.502835538752363,0.497164461247637,0.0,raise,0.502835538752363
RFI_SB,86s,0.49651115063620194,0.503488849363798,0.0,call,0.503488849363798
RFI_SB,A6o,0.5045379537953796,0.4954620462046205,0.0,raise,0.5045379537953796
RFI_SB,J8s,0.48896112691317895,0.511038873086821,0.0,call,0.511038873086821
RFI_SB,JJ,0.48549167114454594,0.5145083288554541,0.0,call,0.5145083288554541
RFI_SB,98s,0.48324514991181655,0.5167548500881834,0.0,call,0.5167548500881834
RFI_SB,Q7o,0.4827256588829715,0.5172743411170285,0.0,call,0.5172743411170285
RFI_SB,T3s,0.518382851716185,0.48161714828381497,0.0,raise,0.518382851716185
RFI_SB,64s,0.5238483489604566,0.47615165103954343,0.0,raise,0.5238483489604566
