hand,raise,call,diff
A4s,0.5011022320198402,0.49889776798015983,0.0022044640396803317
99,0.502835538752363,0.497164461247637,0.005671077504725952
86s,0.49651115063620194,0.503488849363798,0.006977698727596071
A6o,0.5045379537953796,0.4954620462046205,0.009075907590759102
J8s,0.48896112691317895,0.511038873086821,0.02207774617364211
JJ,0.48549167114454594,0.5145083288554541,0.02901665771090811
98s,0.48324514991181655,0.5167548500881834,0.0335097001763669
Q7o,0.4827256588829715,0.5172743411170285,0.03454868223405705
T3s,0.518382851716185,0.48161714828381497,0.03676570343237007
64s,0.5238483489604566,0.47615165103954343,0.04769669792091319
K5o,0.5270049099836334,0.47299509001636664,0.054009819967266726
52s,0.47100271002710026,0.5289972899728997,0.057994579945799485
T5s,0.5346534653465347,0.46534653465346537,0.06930693069306931
K6o,0.46312201772324474,0.5368779822767553,0.07375596455351058
87s,0.46215301286391336,0.5378469871360867,0.07569397427217334
QQ,0.5462975589799536,0.45370244102004637,0.09259511795990721
K8s,0.553967605825507,0.446032394174493,0.107935211651014
ATo,0.44514536478332417,0.5548546352166758,0.1097092704333516
KJo,0.4422055820285909,0.5577944179714092,0.11558883594281827
95s,0.4257197175448126,0.5742802824551874,0.14856056491037478
T7o,0.5861549006168608,0.4138450993831391,0.1723098012337217
J7o,0.41265754167231333,0.5873424583276867,0.1746849166553734
KQo,0.4123456790123457,0.5876543209876544,0.17530864197530865
AKs,0.4024643499930777,0.5975356500069223,0.19507130001384465
AQs,0.40160865344612395,0.598391346553876,0.1967826931077521
Q8o,0.3856361149110807,0.6143638850889193,0.22872777017783857
Q9s,0.6216621253405995,0.37833787465940055,0.24332425068119895
33,0.37473060344827586,0.6252693965517241,0.25053879310344823
AJo,0.3739882013993689,0.626011798600631,0.25202359720126216
K9o,0.37295528898582336,0.6270447110141767,0.25408942202835333
